Make,Type,Mass (kg),CO2 Emissions (g/km),Engine Power (kW),Fuel Consumption
HYUNDAI,TUCSONIX35,1538.0,150.0,110.0,6.6
MERCEDES-BENZ,CLA 200 D,1620.0,135.0,110.0,5.1
CITROEN,C5 AIRCROSS,1567.0,144.0,96.0,5.5
BMW,X5 XDRIVE 30D,2295.0,207.0,210.0,7.9
AUDI,A6 ALLROAD QUATTRO,1900.0,152.0,150.0,6.0
MERCEDES-BENZ,AMG GLE 53 4MATIC+,2375.0,237.0,320.0,10.4
FIAT,PANDA,1045.0,108.0,52.0,4.8
HYUNDAI,I10,996.0,116.0,46.0,5.1
TOYOTA,TOYOTA AYGO X,1020.0,108.0,53.0,4.8
FIAT,PANDA,1055.0,114.0,52.0,5.0
VOLKSWAGEN,GOLF,1400.0,120.0,85.0,5.4
SKODA,FABIA,1159.0,115.0,70.0,5.1
RENAULT,CAPTUR E-TECH HYBRID,1445.0,107.0,69.0,4.7
MERCEDES-BENZ,GLA 200 D 4MATIC,1715.0,150.0,110.0,5.7
RENAULT,CAPTUR E-TECH HYBRID,1445.0,105.0,69.0,4.6
SEAT,ARONA,1215.0,120.0,81.0,5.3
MERCEDES-BENZ,T-CLASS,1772.0,163.0,96.0,7.2
PORSCHE,MACAN T,1940.0,231.0,195.0,10.2
DACIA,SANDERO,1171.0,127.0,67.0,5.6
OPEL,CORSA,1110.0,120.0,55.0,5.4
SKODA,KAMIQ,1223.0,124.0,70.0,5.5
VOLKSWAGEN VW,PASSAT,1678.0,136.0,110.0,5.2
DACIA,DUSTER,1455.0,114.0,69.0,5.1
TOYOTA,TOYOTA YARIS,1125.0,118.0,92.0,5.0
SEAT,ARONA,1215.0,122.0,81.0,5.4
PEUGEOT,308,1363.0,123.0,96.0,5.8
DACIA,SANDERO,1228.0,114.0,74.0,5.8
JEEP,AVENGER,1255.0,128.0,74.0,5.7
FIAT,PANDA,1045.0,113.0,52.0,5.0
AUDI,Q5 SPORTBACK 55 TFSI E,2150.0,41.0,195.0,1.8
NISSAN,NISSAN JUKE,1274.0,133.0,84.0,5.9
TOYOTA,TOYOTA YARIS,1165.0,87.0,68.0,3.9
OPEL,ASTRA SPORTS TOURER,1421.0,130.0,96.0,5.8
VOLKSWAGEN,POLO,1203.0,122.0,70.0,5.4
FORD,PUMA,1315.0,121.0,92.0,5.4
MITSUBISHI,MITSUBISHI ECLIPSE CROSS,1975.0,46.0,72.0,2.0
HYUNDAI,KONA,1485.0,103.0,77.0,4.5
VOLKSWAGEN VW,T-ROC,1355.0,142.0,110.0,6.3
VOLKSWAGEN VW,T-CROSS,1296.0,135.0,85.0,5.9
JAGUAR,JAGUAR F-PACE,2115.0,196.0,221.0,7.5
SKODA,OCTAVIA,1442.0,125.0,110.0,5.5
VOLKSWAGEN VW,TOURAN,1564.0,157.0,110.0,7.0
MERCEDES-BENZ,GLC 300 D 4MATIC,2000.0,150.0,198.0,5.7
MERCEDES-BENZ,A 160,1350.0,134.0,80.0,5.9
AUDI,Q3 E-TRON,1815.0,31.0,110.0,1.4
AUDI,A3 SPORTBACK,1355.0,117.0,81.0,5.1
BMW,520D XDRIVE,1905.0,141.0,145.0,5.4
KIA,SPORTAGE,1676.0,147.0,100.0,5.6
AUDI,Q3 SPORTBACK,1570.0,162.0,110.0,7.1
SKODA,OCTAVIA,1429.0,110.0,85.0,4.2
JEEP,RENEGADE,1495.0,125.0,96.0,5.6
FORD,PUMA,1315.0,122.0,92.0,5.4
RENAULT,MEGANE,1353.0,135.0,103.0,7.3
PORSCHE,CAYENNE S E-HYBRID,2485.0,33.0,260.0,1.5
VOLKSWAGEN,TOUAREG,2191.0,214.0,170.0,8.2
VOLKSWAGEN VW,PASSAT,1762.0,185.0,195.0,8.1
DACIA,SANDERO,1181.0,125.0,81.0,5.5
FORD,PUMA,1376.0,130.0,91.0,7.3
FORD,FOCUS,1507.0,132.0,85.0,5.0
SUZUKI,VITARA,1240.0,120.0,95.0,5.3
VOLKSWAGEN,PASSAT,1645.0,125.0,110.0,5.5
LEXUS,LEXUS NX350H,1901.0,144.0,140.0,4.8
PEUGEOT,2008,1263.0,123.0,74.0,5.5
BMW,X1 XDRIVE 25E,1930.0,17.0,100.0,0.8
BMW,X5 XDRIVE30D,2295.0,182.0,210.0,5.1
OPEL,CORSA,1175.0,117.0,74.0,5.2
MAZDA,MAZDA2,1112.0,107.0,66.0,4.7
FIAT,PANDA,1045.0,114.0,52.0,5.0
TOYOTA,TOYOTA YARIS,1165.0,87.0,68.0,3.8
BMW,216I ACTIVE TOURER U06 B38,1545.0,142.0,90.0,6.3
DACIA,DUSTER,1465.0,137.0,96.0,6.1
AUDI,A6 AVANT,1785.0,173.0,195.0,7.6
FORD,KUGA ST-LINE,1667.0,150.0,88.0,5.7
KIA,SPORTAGE,1649.0,132.0,132.0,5.8
HYUNDAI,I10,999.0,114.0,49.0,5.1
MAZDA,MAZDA CX-80,2195.0,151.0,187.0,5.8
VOLKSWAGEN VW,TOURAN,1675.0,143.0,110.0,5.4
CUPRA,CUPRA LEON,1401.0,126.0,110.0,5.5
RENAULT,AUSTRAL,1592.0,102.0,96.0,4.5
FORD,KUGA,1955.0,22.0,111.0,1.0
DACIA,DUSTER,1465.0,136.0,96.0,6.0
RENAULT,ESPACE,1738.0,108.0,96.0,4.8
MERCEDES-BENZ,GLE 350 DE 4MATIC,2695.0,18.0,145.0,0.7
VOLKSWAGEN,POLO,1165.0,117.0,70.0,5.1
VOLKSWAGEN VW,PASSAT,1682.0,137.0,110.0,5.2
AUDI,Q2,1440.0,125.0,85.0,4.8
SKODA,OCTAVIA,1575.0,137.0,110.0,5.2
VOLKSWAGEN VW,GOLF,1261.0,126.0,81.0,5.5
AUDI,Q5 55 TFSI E,2150.0,39.0,195.0,1.7
SUZUKI,SX4,1435.0,131.0,75.0,5.8
MG,MG ZS,1314.0,149.0,78.0,6.6
PEUGEOT,NUEVO 5008 ALLURE HYBRID 136 EDCS6,1780.0,130.0,100.0,5.8
KIA,SPORTAGE,1649.0,132.0,132.0,5.8
BMW,X5 XDRIVE50E,2495.0,20.0,230.0,0.9
DACIA,JOGGER,1460.0,107.0,69.0,4.8
DACIA,SANDERO,1229.0,114.0,67.0,5.8
VOLKSWAGEN,T-ROC,1304.0,129.0,85.0,5.7
VOLKSWAGEN,GOLF,1379.0,113.0,85.0,4.3
KIA,SPORTAGE,1580.0,142.0,118.0,6.3
CITROEN,C3,1055.0,123.0,61.0,5.5
CITROEN,C4 X,1364.0,132.0,96.0,5.8
CUPRA,FORMENTOR E-HYBRID,1680.0,27.0,110.0,1.2
SKODA,FABIA,1195.0,121.0,85.0,5.3
VOLKSWAGEN,CADDY,1721.0,139.0,90.0,5.3
BMW,430D XDRIVE,1920.0,150.0,210.0,5.7
BMW,X3 XDRIVE30E,2065.0,48.0,135.0,8.1
MITSUBISHI,MITSUBISHI ECLIPSE CROSS,1975.0,46.0,72.0,2.0
KIA,CEED,1360.0,131.0,103.0,5.5
DACIA,SANDERO,1228.0,114.0,74.0,7.1
FORD,PUMA,1315.0,121.0,92.0,5.4
FIAT,500X,1430.0,127.0,70.0,4.9
OPEL,CORSA,1203.0,128.0,74.0,5.7
LAND ROVER,DEFENDER,2681.0,232.0,221.0,7.6
SKODA,OCTAVIA,1448.0,115.0,85.0,4.4
VOLKSWAGEN,POLO,1165.0,118.0,70.0,5.2
SEAT,ARONA,1215.0,120.0,81.0,5.3
AUDI,Q5 SPORTBACK,1850.0,203.0,195.0,8.7
SKODA,KAMIQ,1254.0,128.0,85.0,5.7
FORD,TOURNEO CONNECT,1656.0,156.0,84.0,6.9
NISSAN,NISSAN QASHQAI,1665.0,118.0,116.0,5.2
SKODA,OCTAVIA,1458.0,129.0,110.0,4.9
JAGUAR,JAGUAR E-PACE,2202.0,35.0,147.0,1.5
TOYOTA,TOYOTA YARIS CROSS,1265.0,102.0,68.0,4.5
OPEL,ASTRA SPORTS TOURER,1394.0,130.0,96.0,5.8
SUZUKI,SWIFT,994.0,99.0,60.0,4.4
VOLKSWAGEN VW,T-ROC,1355.0,142.0,110.0,6.2
BMW,M2,1800.0,221.0,338.0,9.8
HYUNDAI,I10,996.0,116.0,49.0,5.1
TOYOTA,TOYOTA C-HR,1510.0,108.0,72.0,4.8
RENAULT,ARKANA E-TECH,1510.0,106.0,69.0,4.7
VOLKSWAGEN VW,TOURAN,1588.0,137.0,90.0,5.2
PEUGEOT,3008,1504.0,142.0,96.0,5.4
AUDI,A8,2095.0,194.0,210.0,7.4
VOLKSWAGEN VW,GOLF,1459.0,172.0,221.0,7.6
MERCEDES-BENZ,E 220 D,1985.0,134.0,145.0,5.1
VOLKSWAGEN,TAIGO,1263.0,127.0,85.0,5.6
MERCEDES-BENZ,GLC 300 4MATIC,1930.0,172.0,190.0,7.6
VOLKSWAGEN VW,TAIGO,1263.0,129.0,85.0,5.7
CITROEN,C3,1165.0,117.0,75.0,4.5
MERCEDES BENZ,GLA 200 D,1660.0,145.0,110.0,5.5
AUDI,A1 SPORTBACK,1205.0,134.0,81.0,5.9
MITSUBISHI,MITSUBISHI SPACE STAR,985.0,125.0,52.0,5.5
VOLVO,XC60,2150.0,25.0,228.0,1.1
TOYOTA,TOYOTA C-HR,1640.0,103.0,112.0,3.6
HYUNDAI,TUCSON,1581.0,142.0,117.0,7.3
CITROEN,C3 AIRCROSS,1291.0,135.0,81.0,6.0
BMW,318I,1650.0,152.0,115.0,6.7
KIA,NIRO,1594.0,120.0,77.0,4.4
MITSUBISHI,MITSUBISHI ASX,1294.0,134.0,67.0,5.9
BMW,X1 XDRIVE30E,1935.0,19.0,110.0,0.8
PORSCHE,MACAN GTS,2035.0,257.0,324.0,11.3
DACIA,SANDERO,1225.0,113.0,67.0,5.7
FIAT,FIAT 500,1058.0,108.0,52.0,4.7
PEUGEOT,2008,1280.0,133.0,96.0,5.9
MITSUBISHI,MITSUBISHI SPACE STAR,950.0,116.0,52.0,5.1
SUZUKI,S-CROSS,1280.0,121.0,95.0,5.4
VOLKSWAGEN,T-CROSS,1296.0,133.0,85.0,5.8
MERCEDES-BENZ,GLA 250 E,1800.0,25.0,120.0,1.1
VOLKSWAGEN VW,POLO,1203.0,126.0,70.0,5.5
SKODA,KAROQ / 1.5 / TSI AUT.,1416.0,141.0,110.0,6.2
HYUNDAI,I20,1088.0,122.0,58.0,5.4
RENAULT,CLIO,1191.0,119.0,67.0,5.2
SSANGYONG,SSANGYONG TIVOLI GRAND,1425.0,175.0,120.0,7.8
BMW,X1 SDRIVE18I,1575.0,147.0,100.0,6.5
MERCEDES-BENZ,A 180 D,1540.0,131.0,85.0,5.0
CITROEN,C3,1055.0,123.0,61.0,5.5
BMW,220I,1565.0,147.0,135.0,6.5
DACIA,SANDERO,1147.0,119.0,67.0,5.3
SEAT,ARONA,1213.0,124.0,85.0,5.4
NISSAN,NISSAN QASHQAI,1450.0,143.0,116.0,6.3
CITROEN,C4 PURETECH 100 S&S 6V YOU,1284.0,124.0,74.0,5.5
RENAULT,AUSTRAL,1592.0,105.0,96.0,4.6
CITROEN,C3 AIRCROSS,1310.0,144.0,96.0,6.4
RENAULT,CLIO,1234.0,108.0,74.0,5.4
VOLKSWAGEN VW,PASSAT,1765.0,153.0,142.0,5.8
RENAULT,SYMBIOZ,1498.0,107.0,69.0,4.7
PEUGEOT,408,1467.0,135.0,96.0,6.0
MERCEDES-BENZ,CLA 250 E,1765.0,21.0,120.0,0.9
TOYOTA,COROLLA,1570.0,120.0,112.0,5.3
TOYOTA,TOYOTA AYGO X,1020.0,108.0,53.0,4.8
PEUGEOT,308,1385.0,127.0,96.0,5.6
VOLKSWAGEN VW,T-CROSS,1326.0,137.0,110.0,6.1
MAZDA,MAZDA CX-30,1456.0,134.0,90.0,5.9
NISSAN,QASHQAI / 1.3 / AUT.,1531.0,145.0,116.0,6.4
MAZDA,MAZDA CX-60,1959.0,137.0,187.0,5.2
SUZUKI,IGNIS,969.0,112.0,61.0,5.0
VOLVO,XC60,2150.0,23.0,228.0,7.3
VOLKSWAGEN VW,GOLF,1451.0,164.0,180.0,7.2
MERCEDES-BENZ,GLC 220 D 4MATIC,2120.0,131.0,145.0,5.4
VOLKSWAGEN VW,CADDY,1606.0,153.0,85.0,6.7
VOLKSWAGEN  VW,TIGUAN,1700.0,168.0,147.0,6.4
BMW,X3 XDRIVE20I,1875.0,168.0,135.0,7.8
VOLKSWAGEN VW,POLO,1138.0,126.0,59.0,5.5
TOYOTA,TOYOTA COROLLA,1420.0,100.0,72.0,4.4
DACIA,SANDERO,1171.0,126.0,67.0,5.6
MERCEDES-BENZ,GLA 180 D,1660.0,141.0,85.0,5.4
MERCEDES-BENZ,GLA 180,1570.0,153.0,100.0,6.8
TOYOTA,TOYOTA YARIS,1165.0,92.0,68.0,4.0
HYUNDAI,TUCSON,1581.0,141.0,117.0,6.3
AUDI,Q2,1440.0,127.0,85.0,4.8
RENAULT,CLIO E-TECH HYBRID,1348.0,98.0,69.0,4.3
SUZUKI,VITARA,1325.0,129.0,95.0,5.4
RENAULT,ESPACE,1773.0,110.0,96.0,4.9
VOLVO,XC90,2297.0,33.0,228.0,1.4
HONDA,HR-V,1452.0,122.0,79.0,5.4
RENAULT,KANGOO,1661.0,136.0,70.0,5.2
AUDI,A5 SPORTBACK,1595.0,126.0,120.0,4.8
RENAULT,CAPTUR,1332.0,118.0,67.0,6.0
VOLVO,S60,1715.0,140.0,145.0,6.2
TOYOTA,TOYOTA YARIS CROSS,1265.0,101.0,68.0,4.5
KIA,SPORTAGE,1649.0,129.0,117.0,5.7
